Electrode,Weight
POL RPIN2-Ref-1,2767.1441846096964
POL RPCU6-Ref,2763.7351464277303
POL RpTH3-Ref-1,2759.6345673764063
POL RpTH6-Ref-0,-2734.2861336266133
POL LaTH12-Ref-2,2725.1830712708306
POL LRMD3-Ref-1,2690.156733960782
POL RMCC16-Ref-0,2677.5884278622975
POL RPvH9-Ref,2662.817686541539
POL RaIN11-Ref,2662.507280015284
POL LaTH10-Ref-0,2654.842485109668
POL RAMY1-Ref-3,2649.546055041798
POL RHIP9-Ref-1,2636.8999359000395
POL LaTH4-Ref-0,2633.108595192737
POL LpFG3-Ref,-2629.340655337436
POL RPIN1-Ref-0,2626.8373507405495
POL RPTH2-Ref,2613.37945546029
POL RAMY7-Ref-3,2612.4858379712596
POL LRMD13-Ref-0,-2610.7071425432355
POL LMCC8-Ref-0,2597.5045529218132
POL LMCC2-Ref-0,2584.8260258952328
POL RaTH6-Ref-2,2582.908083569648
POL LPIN15-Ref-1,2579.008320412144
POL LaTH2-Ref-1,2553.4464605236053
POL LPCn1-Ref,2547.5339033490363
POL LAMY3-Ref-2,2543.6904283125364
POL RaTH14-Ref-2,2542.9909900215216
POL RpIN2-Ref,-2535.9615109468473
POL LpFG4-Ref,-2535.207778675467
POL LITG6-Ref,2525.678706376759
POL RsCC1-Ref,2521.082046178541
POL RaTH3-Ref-1,2520.989281581149
POL RMiC3-Ref,2516.9720770784843
POL LPCU3-Ref,2516.5458904557768
POL RaTH15-Ref,2501.3582830985756
POL RaTH7-Ref-0,2485.8861758147023
POL LaTh5-Ref,2475.368372879316
POL RaTh5-Ref,2465.025128458677
POL RaTh6-Ref,2459.454726909143
POL LpTh12-Ref,-2437.2778432854516
POL RMCC13-Ref-1,2424.701675927901
POL RMiC6-Ref,2424.239495978571
POL RpHP2-Ref,2423.769504805427
POL RMiC7-Ref,2410.9697448540915
POL RPTH13-Ref,2402.4603985057383
POL LaTH1-Ref-0,2401.936282801377
POL LITG1-Ref,2396.336148223224
POL LSU3-Ref,2382.2760651679555
POL LMCC7-Ref-1,2360.7619944360667
POL LaIN9-Ref,2350.629537961911
POL LRMD12-Ref-0,-2348.5196293139966
POL LITG3-Ref,-2346.168273799715
POL RaIN5-Ref,2339.1884506527717
POL LAMY2-Ref-1,2329.9558274235446
POL LpTh5-Ref,2328.0639993228883
POL RAMY2-Ref-2,2326.366971927659
POL LMCC16-Ref-1,2317.707835501614
POL RHIP4-Ref-0,2314.473792208091
POL RMCC6-Ref-0,2307.28921153514
POL LMCC12-Ref-1,2305.0383535030815
POL RaTh4-Ref,2300.806766595215
POL LaTH11-Ref-1,-2292.4026530742744
POL RpTH1-Ref-0,2291.8913500288263
POL LaTh6-Ref,2290.7049931290567
POL LPIN14-Ref-1,2283.4540759278393
POL LITG4-Ref,-2273.3660960831835
POL LaTH5-Ref-0,2264.688870191053
POL LAMY6-Ref-0,2262.9167351317337
POL LaIN10-Ref,2257.784680083731
POL LPCU1-Ref,2246.839683995845
POL RaTH1-Ref-0,-2243.9925401778714
POL RpIN7-Ref,2243.7088398905194
POL AINS4-Ref,2239.2740422595107
POL LHIP6-Ref-2,2235.0027201807206
POL RpTh2-Ref,2230.6063179055
POL LPCn12-Ref,2230.4669794672295
